,workidmain,actualtimemain,warehouse,targetlicenseplateid,multiplesku,createddateandtimemain,closedworkmain,workinprocessmain,workstatusmain,companymain,workordertypemain,useridmain,actualtime,containerid,dimensionnumber,inventoryquantityremaining,inventoryworkquantity,lotid,itemnumber,configid,linenumber,loadid,locatedlicenseplateid,ordernumber,remainingquantity,workquantity,shipmentid,skipped,sortcode,unit,userid,location,workclassid,workid,createddateandtime,closedwork,workinprocess,workstatus,stoptransaction,worktype,zoneid,extrainventoryquantity,weightcaptured,company,modified,modifiedon,worktemplate,workordertype,dateadded,total_cases,CLOSEDWORK_seconds,WORKINPROCESS_seconds,increase_percentage_quantity
430,WOR2042475,67,RETAIL,6316561019044700,0,2022-03-08 16:21:01,2022-03-08 16:31:45,2022-03-08 16:30:38,4,301,2,Ferial.Tor,55,0.0,#0000000150DEB9D5,0,2,LO05708305,N000000157,V11,1,LD0121403,0.0,SON0124539,0,2,SID0122247,0,0,Each,gregn,F8201D1,SALES,WOR2042475,2022-03-08 16:21:01,2022-03-08 16:31:33,2022-03-08 16:30:38,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-03-08 16:31:33,Retail Picking,2,2023-02-02 14:08:07.500,2.0,5514563.0,5514508.0,-16736.08567063232
191,WOR2410625,179,RETAIL,6316561020466330,0,2022-10-05 14:30:24,2022-10-05 17:01:03,2022-10-05 16:58:04,4,301,2,D365.Batch,57,0.0,#00000001514C18D4,0,1,LO08766167,N000013234,Base,4,LD0149264,0.0,SON0158442,0,1,SID0151072,0,0,Each,yahaira,X4401A6,SALES,WOR2410625,2022-10-05 14:30:24,2022-10-05 17:00:41,2022-10-05 16:59:44,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-05 17:00:41,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23746711.0,23746654.0,-3235.763213454004
433,WOR2412285,196,RETAIL,6316561020486220,0,2022-10-05 20:30:40,2022-10-10 13:51:12,2022-10-10 13:47:56,4,301,2,D365.Batch,36,0.0,#00000001514BDA6C,0,1,LO08775691,N000001144,V8,2,LD0149358,0.0,SON0158517,0,1,SID0151163,0,0,Each,yahaira,X4401A6,SALES,WOR2412285,2022-10-05 20:30:40,2022-10-10 13:49:00,2022-10-10 13:48:24,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-10 13:49:00,Retail Picking,2,2023-02-02 14:08:07.500,1.0,24167210.0,24167174.0,269.8604429672899
129,WOR2504359,148,RETAIL,6316561020776520,0,2022-12-01 18:30:23,2022-12-02 13:28:05,2022-12-02 13:25:17,4,301,2,D365.Batch,27,0.0,#000000015149070F,0,1,LO09467709,N000012990,Base,2,LD0153829,0.0,SON0165781,0,1,SID0156029,0,0,Each,Carolyn,X4401D6,SALES,WOR2504359,2022-12-01 18:30:23,2022-12-02 13:26:04,2022-12-02 13:25:37,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-12-02 13:26:04,Retail Picking,2,2023-02-02 14:08:07.500,1.0,28745034.0,28745007.0,-1105.156339029014
344,WOR2409630,43,RETAIL,6316561020467920,0,2022-10-05 03:30:32,2022-10-05 18:21:28,2022-10-05 18:20:45,4,301,2,D365.Batch,0,0.0,#00000001514C1759,0,1,LO08762970,N000010695,V1,2,LD0149208,0.0,SON0158403,0,1,SID0151039,0,0,Each,yahaira,0,SALES,WOR2409630,2022-10-05 03:30:32,2022-10-05 18:21:08,2022-10-05 18:21:08,4,0,8,0,0,0,301,warehouseapp.d365,2022-10-05 18:21:08,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23751538.0,23751538.0,-93.63227053381948
368,WOR2406892,241,RETAIL,6316561020465580,0,2022-10-04 13:30:29,2022-10-05 15:53:43,2022-10-05 15:49:42,4,301,2,D365.Batch,33,0.0,#00000001514BDA6C,0,1,LO08751342,N000001144,V8,1,LD0149050,0.0,SON0158209,0,1,SID0150877,0,0,Each,yahaira,X4401A6,SALES,WOR2406892,2022-10-04 13:30:29,2022-10-05 15:50:15,2022-10-05 15:49:42,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-05 15:50:15,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23742485.0,23742452.0,-124.69553859042288
358,WOR2427412,625,RETAIL,6316561020500650,0,2022-10-12 19:00:35,2022-10-13 12:17:51,2022-10-13 12:06:10,4,301,2,D365.Batch,29,0.0,#00000001514BE063,0,1,LO08833222,N000012279,Base,7,LD0150084,0.0,SON0159607,0,1,SID0151926,0,0,Each,Carolyn,X4401C3,SALES,WOR2427412,2022-10-12 19:00:35,2022-10-13 12:15:58,2022-10-13 12:15:29,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-13 12:15:58,Retail Picking,2,2023-02-02 14:08:07.500,1.0,24420828.0,24420799.0,189.64502599061706
329,WOR2243776,1912,RETAIL,6316561019784940,0,2022-06-24 13:15:18,2022-06-24 14:04:50,2022-06-24 13:31:24,4,301,2,Ferial.Tor,148,0.0,#0000000150FD40BB,0,2,LO07411033,N000009676,Base,12,LD0134983,0.0,SON0140190,0,2,SID0136565,0,0,Each,meliha,X4401C4,SALES,WOR2243776,2022-06-24 13:15:19,2022-06-24 13:46:18,2022-06-24 13:43:50,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-06-24 13:46:18,Retail Picking,2,2023-02-02 14:08:07.500,2.0,14835848.0,14835700.0,-96.7361997083474
420,WOR2413707,257,RETAIL,6316561020481680,0,2022-10-06 15:00:44,2022-10-07 16:52:33,2022-10-07 16:48:16,4,301,2,D365.Batch,50,0.0,#00000001514BDA6C,0,1,LO08783365,N000001144,V8,1,LD0149521,0.0,SON0158728,0,1,SID0151406,0,0,Each,rschwarz,X4401A6,SALES,WOR2413707,2022-10-06 15:00:44,2022-10-07 16:49:06,2022-10-07 16:48:16,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-07 16:49:06,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23918816.0,23918766.0,94.6403358411941
491,WOR2412466,226,RETAIL,6316561020490350,0,2022-10-06 06:31:07,2022-10-10 19:16:11,2022-10-10 19:12:25,4,301,2,D365.Batch,98,0.0,#00000001514C1ABD,0,1,LO08779287,N000010989,V1,3,LD0149438,0.0,SON0158625,0,1,SID0151267,0,0,Each,meliha,X4401A6,SALES,WOR2412466,2022-10-06 06:31:07,2022-10-10 19:15:02,2022-10-10 19:13:24,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-10 19:15:02,Retail Picking,2,2023-02-02 14:08:07.500,1.0,24186772.0,24186674.0,-116.32766787470558
